ts_ns,char,hex
18671124416,0032,c90400f00f1aff0e30953a0000000000
18671369250,0033,c904000068000100953a68000100000000000000
19180770583,0031,fb0400b401000101010104000000000000807a
19181767500,0032,fb0400f00f1aff0e30953a0000000000
19181967708,0033,fb04000068000100953a68000100000000000000
19660867125,0031,2d0500c201000101010104000000000000807a
19662805833,0032,2d0500f00f1aff0e30953a0000000000
19663167291,0033,2d05000068000100953a68000100000000000000
20171913583,0031,5f0500cf01000101010104000000000000807a
20172307125,0032,5f0500f00f1aff0e30953a0000000000
20173108958,0033,5f05000068000100953a68000100000000000000
20681053416,0031,8f0500dc01000101010104000000000000807a
20682321500,0032,8f0500f00f1aff0e30953a0000000000
20682623208,0033,8f05000068000100953a68000100000000000000
21162512166,0033,c205000068000100953a68000100000000000000
