ts_ns,ts_iso,elapsed_s,distance_m,spm,power,pace,calhr,calories,strokestate,status,forceplot_current_json,forceplot_complete_json
38622614375,2025-10-04T12:35:58.789,24.82,101.5,22,221,116.56242934043914,1060.5936000000002,5,Drive,Offline,"[119, 129, 131, 138, 138, 134, 142, 145, 151, 154, 156, 156, 154, 152, 155, 150]",
38888589875,2025-10-04T12:35:59.055,25.09,102.8,22,219,116.91618698537442,1053.7104,6,Dwelling,Offline,"[150, 138, 137, 126, 125, 117, 113, 104, 95, 88, 70, 64, 45, 37, 18]",
39162716291,2025-10-04T12:35:59.329,25.35,104.0,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
39434627625,2025-10-04T12:35:59.601,25.62,105.3,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
39708629666,2025-10-04T12:35:59.875,25.88,106.5,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
39974714875,2025-10-04T12:36:00.141,26.17,107.7,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
40248632291,2025-10-04T12:36:00.415,26.43,108.7,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
40522641708,2025-10-04T12:36:00.689,26.7,109.8,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
40794649041,2025-10-04T12:36:00.961,26.98,110.8,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
41068708375,2025-10-04T12:36:01.235,27.25,111.8,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
41334615833,2025-10-04T12:36:01.501,27.51,112.7,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
41598564708,2025-10-04T12:36:01.765,27.8,113.7,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
41872707166,2025-10-04T12:36:02.039,28.05,114.5,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
42138606375,2025-10-04T12:36:02.305,28.33,115.5,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
42404611791,2025-10-04T12:36:02.571,28.58,116.2,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
42678729708,2025-10-04T12:36:02.845,28.85,117.0,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
42950629583,2025-10-04T12:36:03.117,29.11,117.8,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
43224629750,2025-10-04T12:36:03.391,29.4,118.6,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
43490584875,2025-10-04T12:36:03.657,29.65,119.3,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
43762709375,2025-10-04T12:36:03.929,29.93,120.1,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
44028624541,2025-10-04T12:36:04.195,30.19,120.7,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
44294631833,2025-10-04T12:36:04.461,30.45,121.4,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
44560703250,2025-10-04T12:36:04.727,30.72,122.1,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
44834606208,2025-10-04T12:36:05.001,31.0,122.8,22,219,116.91618698537442,1053.7104,6,Recovery,Offline,[8],
45106612500,2025-10-04T12:36:05.273,31.06,122.9,22,219,116.91618698537442,1053.7104,7,Wait for acceleration,Offline,[8],
45372644458,2025-10-04T12:36:05.539,31.06,122.9,22,219,116.91618698537442,1053.7104,7,Wait for acceleration,Offline,[8],
45646643041,2025-10-04T12:36:05.813,31.06,122.9,22,219,116.91618698537442,1053.7104,7,Wait for acceleration,Offline,[8],
45912622416,2025-10-04T12:36:06.079,31.06,122.9,22,219,116.91618698537442,1053.7104,7,Wait for acceleration,Offline,[8],
46184717625,2025-10-04T12:36:06.351,31.06,122.9,22,219,116.91618698537442,1053.7104,7,Wait for acceleration,Offline,[8],
46458637500,2025-10-04T12:36:06.625,31.06,122.9,22,219,116.91618698537442,1053.7104,7,Wait for acceleration,Offline,[8],
46740693708,2025-10-04T12:36:06.907,31.06,122.9,22,219,116.91618698537442,1053.7104,7,Wait for acceleration,Offline,[8],
47004609791,2025-10-04T12:36:07.171,31.06,122.9,22,219,116.91618698537442,1053.7104,7,Wait for acceleration,Offline,[8],
47262635958,2025-10-04T12:36:07.429,31.06,122.9,22,219,116.91618698537442,1053.7104,7,Wait for acceleration,Offline,[8],
47536622958,2025-10-04T12:36:07.703,31.06,122.9,22,219,116.91618698537442,1053.7104,7,Wait for acceleration,Offline,[8],
47810651708,2025-10-04T12:36:07.977,31.06,122.9,22,219,116.91618698537442,1053.7104,7,Wait for acceleration,Offline,[8],
48076626083,2025-10-04T12:36:08.243,31.06,122.9,22,219,116.91618698537442,1053.7104,7,Wait for acceleration,Offline,[8],
48348723208,2025-10-04T12:36:08.515,31.06,122.9,22,219,116.91618698537442,1053.7104,7,Wait for acceleration,Offline,[8],
48614626541,2025-10-04T12:36:08.781,31.06,122.9,22,219,116.91618698537442,1053.7104,7,Wait for acceleration,Offline,[8],
