ts_ns,ts_iso,raw_json
13200646875,2025-10-04T12:35:33.367,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
13466733791,2025-10-04T12:35:33.633,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
13740714083,2025-10-04T12:35:33.907,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for acceleration"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
14014643958,2025-10-04T12:35:34.181,"{""time"": 0.19, ""distance"": 0.4, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [0, 0, 129, 129, 129, 132, 132, 137, 137, 138, 138, 142], ""strokestate"": ""Drive"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
14278639291,2025-10-04T12:35:34.445,"{""time"": 0.47, ""distance"": 1.2, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [142, 144, 144, 145, 145, 145, 145, 145, 148, 148, 143, 143, 141, 132, 132, 133], ""strokestate"": ""Drive"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
14552719583,2025-10-04T12:35:34.719,"{""time"": 0.74, ""distance"": 2.2, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [124, 124, 121, 111, 111, 108, 96, 96, 92, 81, 73, 73, 53, 34, 34, 14], ""strokestate"": ""Drive"", ""status"": ""Offline"", ""userid"": ""00000"", ""type"": 1, ""state"": 1, ""inttype"": 255, ""intcount"": 0}"
14826718625,2025-10-04T12:35:34.993,"{""time"": 1.0, ""distance"": 3.2, ""spm"": 0, ""power"": 80, ""pace"": 163.5533155094295, ""calhr"": 575.328, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [0, 0, 0, 0, 0], ""strokestate"": ""Recovery"", ""status"": ""Offline"", ""userid"": ""00000"", ""type"": 1, ""state"": 1, ""inttype"": 255, ""intcount"": 0}"
15100663500,2025-10-04T12:35:35.267,"{""time"": 1.28, ""distance"": 4.2, ""spm"": 0, ""power"": 80, ""pace"": 163.5533155094295, ""calhr"": 575.328, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Recovery"", ""status"": ""Offline"", ""userid"": ""00000"", ""type"": 1, ""state"": 1, ""inttype"": 255, ""intcount"": 0}"
15366718000,2025-10-04T12:35:35.533,"{""time"": 1.56, ""distance"": 5.2, ""spm"": 0, ""power"": 80, ""pace"": 163.5533155094295, ""calhr"": 575.328, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Recovery"", ""status"": ""Offline"", ""userid"": ""00000"", ""type"": 1, ""state"": 1, ""inttype"": 255, ""intcount"": 0}"
15638644458,2025-10-04T12:35:35.805,"{""time"": 1.83, ""distance"": 6.1, ""spm"": 0, ""power"": 80, ""pace"": 163.5533155094295, ""calhr"": 575.328, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Recovery"", ""status"": ""Offline"", ""userid"": ""00000"", ""type"": 1, ""state"": 1, ""inttype"": 255, ""intcount"": 0}"
15912667458,2025-10-04T12:35:36.079,"{""time"": 2.1, ""distance"": 7.0, ""spm"": 0, ""power"": 80, ""pace"": 163.5533155094295, ""calhr"": 575.328, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Recovery"", ""status"": ""Offline"", ""userid"": ""00000"", ""type"": 1, ""state"": 1, ""inttype"": 255, ""intcount"": 0}"
16184639625,2025-10-04T12:35:36.351,"{""time"": 2.36, ""distance"": 7.9, ""spm"": 0, ""power"": 80, ""pace"": 163.5533155094295, ""calhr"": 575.328, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Recovery"", ""status"": ""Offline"", ""userid"": ""00000"", ""type"": 1, ""state"": 1, ""inttype"": 255, ""intcount"": 0}"
16460703000,2025-10-04T12:35:36.627,"{""time"": 2.62, ""distance"": 8.7, ""spm"": 0, ""power"": 80, ""pace"": 163.5533155094295, ""calhr"": 575.328, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Recovery"", ""status"": ""Offline"", ""userid"": ""00000"", ""type"": 1, ""state"": 1, ""inttype"": 255, ""intcount"": 0}"
16732661333,2025-10-04T12:35:36.899,"{""time"": 2.9, ""distance"": 9.6, ""spm"": 0, ""power"": 80, ""pace"": 163.5533155094295, ""calhr"": 575.328, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [10, 10, 35, 66, 66, 85, 85, 97, 100, 100, 108, 107, 107, 115, 123, 123], ""strokestate"": ""Drive"", ""status"": ""Offline"", ""userid"": ""00000"", ""type"": 1, ""state"": 1, ""inttype"": 255, ""intcount"": 0}"
17006668208,2025-10-04T12:35:37.173,"{""time"": 3.18, ""distance"": 10.7, ""spm"": 0, ""power"": 80, ""pace"": 163.5533155094295, ""calhr"": 575.328, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [127, 137, 139, 139, 142, 142, 142, 145, 153, 155, 159, 159, 161, 166, 162, 162], ""strokestate"": ""Drive"", ""status"": ""Offline"", ""userid"": ""00000"", ""type"": 1, ""state"": 1, ""inttype"": 255, ""intcount"": 0}"
17278653791,2025-10-04T12:35:37.445,"{""time"": 3.47, ""distance"": 12.0, ""spm"": 22, ""power"": 128, ""pace"": 139.8361177601746, ""calhr"": 740.5248, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [154, 154, 152, 146, 139, 135, 131, 132, 122, 115, 102, 93, 93, 83, 76, 59], ""strokestate"": ""Dwelling"", ""status"": ""Offline"", ""userid"": ""00000"", ""type"": 1, ""state"": 1, ""inttype"": 255, ""intcount"": 0}"
17544658791,2025-10-04T12:35:37.711,"{""time"": 3.73, ""distance"": 13.1, ""spm"": 22, ""power"": 128, ""pace"": 139.8361177601746, ""calhr"": 740.5248, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [44, 29, 16, 1], ""strokestate"": ""Recovery"", ""status"": ""Offline"", ""userid"": ""00000"", ""type"": 1, ""state"": 1, ""inttype"": 255, ""intcount"": 0}"
17818704958,2025-10-04T12:35:37.985,"{""time"": 4.0, ""distance"": 14.3, ""spm"": 22, ""power"": 128, ""pace"": 139.8361177601746, ""calhr"": 740.5248, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Recovery"", ""status"": ""Offline"", ""userid"": ""00000"", ""type"": 1, ""state"": 1, ""inttype"": 255, ""intcount"": 0}"
18084633250,2025-10-04T12:35:38.251,"{""time"": 4.28, ""distance"": 15.4, ""spm"": 22, ""power"": 128, ""pace"": 139.8361177601746, ""calhr"": 740.5248, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Recovery"", ""status"": ""Offline"", ""userid"": ""00000"", ""type"": 1, ""state"": 1, ""inttype"": 255, ""intcount"": 0}"
18348661125,2025-10-04T12:35:38.515,"{""time"": 4.53, ""distance"": 16.4, ""spm"": 22, ""power"": 128, ""pace"": 139.8361177601746, ""calhr"": 740.5248, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Recovery"", ""status"": ""Offline"", ""userid"": ""00000"", ""type"": 1, ""state"": 1, ""inttype"": 255, ""intcount"": 0}"
